participant_id	session_id	task	line_noise	reference_for_faster	faster_bad_channels	ica_prep_bad_channels	length_ica_data	total_ICs	ICs_removed	total_epochs_pre_artifact_rej	total_epochs_post_artifact_rej	FACE_UpInv	FACE_Inv	FACE_Obj	FACE_UpObj	MMN_Standard	MMN_PreDev	MMN_Dev	total_channels_interp	avg_chan_interp_artifact_rej	std_chan_interp_artifact_rej	range_chan_interp_artifact_rej
832992	V03	RS	0.007565005	Cz	"E8 E45 E46 E103 E109 E111"	0	1448	98	"2   8  15  22  28  34  35  38  39  42  45  46  48  49  51  62  66  70  88"	360	359	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	0.342618384401114	1.26718129412292	9
234939	V03	RS	0.7671463	Cz	"E12 E70 E74 E111"	0	1231	100	"1   2   7   9  10  12  13  14  16  17  18  21  22  27  33  34  40  41  43  45  52  84  88"	360	360	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	0.152777777777778	0.681218845030825	7
960530	V03	RS	0.7440323	Cz	"E3 E9"	0	1303	102	"1   7  15  17  18  30  34  40  46  71"	360	276	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	0.916666666666667	1.92314452095646	10
107528	V03	RS	0.9781318	Cz	E96	0	1337	103	"1   5   6   8  11  13  17  18  19  21  23  32  33  34  35  38  39  42  45  51  60  70  93  96"	360	351	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1.18233618233618	2.0002360463066	9
308459	V03	RS	0.472369	Cz	"E14 E25 E32"	0	1336	101	"3  13  20  21  26  29  40  47  49  51  56  60  67  77  81"	360	360	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.0777777777777778	0.500201135650919	5
709689	V03	RS	0.187254	Cz	"E54 E64 E77 E85"	0	1883	100	"4   7  18  19  22  24  25  32  35  41  42  52  59  70  74  89  91"	360	302	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	0.221854304635762	1.02807073710731	9
267232	V03	RS	0.5796318	Cz	"E79 E92 E93 E110"	0	829	100	"3  10  14  19  32  51  56  61  66  79  81"	360	343	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	0.612244897959184	1.33489883033062	10
459735	V03	RS	0.9860186	Cz	E8	0	1172	103	"4    6   10   17   21   25   27   31   36   38   42   44   45   46   51   55   65   69   77   89   91  101"	360	318	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1.18867924528302	2.21172616636016	10
396706	V03	RS	0.8597317	Cz	"E25 E82 E112"	0	1252	101	"12  13  16  17  21  23  27  29  30  34  38  42  44  62  80"	360	300	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.92333333333333	2.38111063337752	10
709356	V03	RS	0.07683574	Cz	"E2 E30 E32"	0	1246	101	"3  10  20  23  35  56"	360	288	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.81597222222222	2.62741279706755	10
